	NOM	AKK	DAT	GEN	INSTR	LOC	GEN-s	DAT-s	AKK-s
1s	jô	miã	mie	mie	mną	mie	mie	mie	mie		
2s	të	cebie	tobie	cebie	tobą	tobie	ce	cë	cã	
3s m	òn	jegò	jemù	jegò	nim	nim	gò	mù	gò
3s f	òna	jã	ji	ji	nią	ni	ji	ji	jã
3s n	òno	je	jemù	jegò	nim	nim	gò	mù	je
rs	-	sebie	sobie	sebie	sobą	sebie	se	se	sã
1p	ma	naju	nama	naju	nama	naju	nas	nóm	nas
2p	wa	waju	wama	waju	wama	waju	was	wóm	was
3p v	òni	jich	jima	jich	jima	nich	jich	jim	jich
3p i	one	je	jima	jich	jima	nich	jich	jim	jie
