	NOM	AKK	DAT	GEN	INSTR	LOC	GEN-s	DAT-s	AKK-s
1s	jô	mie	mie	mie	mną	mie	mie	mie	mie		
2s	të	cebie	tobie	cebie	tobą	tobie	ce	cë	ce	
3s m	òn	jegò	jemù	jegò	nim	nim	gò	mù	gò
3s f	òna	jã	ji	ji	nią	ni	ji	ji	jã
3s n	òno	je	jemù	jegò	nim	nim	gò	mù	je
rs	-	sebie	sobie	sebie	sobą	sobie	sã	so	so
1p	më	nas	nóm	nas	nami	nas	nas	nóm	nas
2p	wë	was	wóm	was	wami	was	was	wóm	was
3p v	òni	jich	jim	jich	jimi	nich	jich	jim	jich
3p i	one	je	jim	jich	jimi	nich	jich	jim	je
