	NOM	AKK	DAT	GEN	ABL	LOC	INSTR
1s	ep̬ĕ	mana	mana	manăn	manran	manra	manp̬a
2s	es̬ĕ	sanăn	sanăn	sana	sant̬an	sant̬a	sanp̬a
3s	văl	ăna	ăna	unăn	unt̬an	unt̬a	unp̬a
1p	ep̬ir	pire	pire	pirĕn	pirĕnt̬en	pirĕnt̬e	pirĕnp̬e
2p	es̬ir	sirĕn	sirĕn	sire	sirĕnt̬en	sirĕnt̬e	sirĕnp̬e
3p	vĕs̬em	vĕs̬en	vĕs̬en	vĕs̬ene	vĕs̬enč̬en	vĕs̬enč̬e	vĕs̬emp̬e
