	NOM	AKK	DAT	GEN	INSTR	LOC
1s	aš	mane	man	manęs	manimi	manyje
2s	tu	tave	tau	tavęs	tavimi	tavyje
3s m	jis	jį	jam	jo	juo	jame
3s f	ji	ją	jai	jos	ja	joje
rs	–	save	sau	savęs	savimi	savyje
1p	mes	mus	mums	mūsų	mumis	mumyse
2p	jūs	jus	jums	jūsų	jumis	jumyse
3p m	jie	juos	jiems	jų	jais	juose
3p f	jos	jas	joms	jų	jomis	jose
