	NOM	AKK	DAT	GEN	INSTR	LOC
1s	ja	mene	meni	mene	mnoju	meni
2s	ty	tebe	tobi	tebe	toboju	tobi
3s m	vin	joho	jomu	joho	nym	nʹómu
3s f	vona	jiji	jij	jiji	neju	nij
3s n	vono	joho	jomu	joho	nym	nʹómu
rs	-	sebe	sobi	sebe	soboju	sobi
1p	my	nas	nam	nas	namy	nas
2p	vy	vas	vam	vas	vamy	vas
3p	vony	jix	jim	jix	nymy	nyx
