	NOM	AKK	DAT	GEN	INSTR	LOC
1s	es	mani	man	manis	mani	manī
2s	tu	tevi	tev	tevis	tevi	tevī
3s m	viņš	viņu	viņam	viņa	viņu	viņā
3s f	viņa	viņu	viņai	viņas	viņu	viņā
rs	-	sevi	sev	sevis	sevi	sevī
1p	mēs	mūs	mums	mūsu	mums	mūsos
2p	jūs	jūs	jums	jūs	jums	jūsos
3p m	viņi	viņus	viņiem	viņu	viņiem	viņos
3p f	viņas	viņas	viņām	viņu	viņām	viņas
