	NOM	ERG	INSTR	ADV
1s	sa	sa	sartʃ'a	sarəw
2s	wa	wa	wartʃ'a	warəw	
3es	aar	aabə	aabətʃ'a	aaraw
3xs	mor	mobə	mobətʃ'a	moraw
3ws	mər	məbə	məbətʃ'a	məraw				
1p	da	da	dartʃ'a	darəw
2p	fa	fa	fartʃ'a	farəw
3ep	aaxar	aabəxam	aabəxamtʃ'a	aaxaraw
3xp	moxar	mobəxam	mobəxamtʃ'a	moxaraw
3wp	məxar	məbəxam	məbəxamtʃ'a	məxaraw
