	NOM	AKK	DAT	GEN
1s	ego	emena	emena	emena
2s	esi	esena	esena	esena
3s m	aftos	afton	afton	aftu
3s f	afti	aftin	aftin	aftis
3s n	afto	afto	afto	aftu
1p	emeis	emas	emas	emas
2p	esis	esas	esas	esas
3p m	afti	aftus	aftus	afton
3p f	aftes	aftes	aftes	afton
3p n	afta	afta	afta	afton
1d	emeis	emas	emas	emas
2d	esis	esas	esas	esas
3d m	afti	aftus	aftus	afton
3d f	aftes	aftes	aftes	afton
3d n	afta	afta	afta	afton
