	NOM	AKK	DAT	GEN
1s	egṓ	emé	emoí	emoû
2s	sŭ́	sé	soí	soû
3s	@	hé	hoî	hoû
1p	hēmeîs	hēmâs	hēmîn	hēmôn
2p	hūmeîs	hūmâs	hūmîn	hūmôn
3p	spheîs	sphâs	sphísi	sphôn
1d	nṓ	nṓ	nôin	nôin
2d	sphṓ	sphṓ	sphôin	sphôin
3d	sphōé	sphōé	sphōïn	sphōïn
