	NOM	AKK	DAT	GEN	DISJ	CON
1s	eu	me	me	meu	mim	migo
2vs	tu	te	te	teu	ti	tigo
2hs m	você	o	lhe	seu	você	você
2hs f	você	a	lhe	seu	você	você
3s m	ele	o	lhe	seu	ele	ele
3s f	ela	a	lhe	seu	ela	ela
rs	-	se	se	seu	si	sigo
1p	nós	nos	nos	nosso	nós	nosco
2vp	vós	vos	vos	vosso	vós	vosco
2hp m	vocês	os	lhes	seu	vocês	vocês
2hp f	vocês	as	lhes	seu	vocês	vocês
3p m	eles	os	lhes	seu	eles	eles
3p f	elas	as	lhes	seu	elas	elas
rp	-	se	se	seu	si	sigo
