	NOM	AKK	DAT	GEN	DISJ	CON
1s	io	mi	mi	mio	me	me
2vs	tu	ti	ti	tuo	te	te
2hs	voi	vi	vi	vostro	voi	vos
3s m	lui	lo	gli	suo	lui	se
3s f	lei	la	le	suo	lei	se
rs	-	si	si	suo	sé	se
1p	noi	ci	ci	nostro	noi	nos
2vp	voi	vi	vi	vostro	voi	vos
2hp m	loro	li	gli	loro	loro	se
2hp f	loro	le	gli	loro	loro	se
3p m	loro	li	gli	loro	loro	se
3p f	loro	le	gli	loro	loro	se
rp	-	si	si	suo	sé	se
