	NOM	AKK	DAT	GEN	DISJ	CON
1s	eu	me	me	meu	min	migo
2vs	ti	te	che	teu	ti	tigo	
2hs m	vostede	o	lle	seu	el	sigo	
2hs f	vostede	a	lle	seu	ela	sigo
3s m	el	o	lle	seu	el	sigo
3s f	ela	a	lle	seu	ela	sigo
rs	-	si	si	seu	si	sigo
1p	nós	nos	nos	noso	nós	nosco
2vp	vós	vos	vos	voso	vós	vosco
2hp m	vostedes	os	seu	lles	eles	sigo
2hp f	vostedes	os	seu	lles	eles	sigo
3p m	eles	os	lles	seu	eles	sigo
3p f	elas	as	lles	seu	elas	sigo
rp	-	si	si	seu	si	sigo
