	NOM	AKK	DAT	GEN	DISJ	CON
1s	jo	em	em	meu	mi	mi
2vs	tu	et	et	teu	tu	tu
2hs m	vostè	el	li	seu	vostè	vostè
2hs f	vostè	la	li	seu	vostè	vostè
3s m	ell	el	li	seu	ell	ell
3s f	ella	la	li	seu	ella	ella
rs	-	es	es	seu	si	si
1p	nosaltres	ens	ens	nostre	nosaltres	nosaltres
2vp	vosaltres	us	us	vostre	vosaltres	vosaltres
2hp m	vostès	els	els	seu	vostès	vostès
2hp f	vostès	les	els	seu	vostès	vostès
3p m	ells	els	els	seu	ells	ells
3p f	elles	les	els	seu	elles	elles
rp	-	es	es	seu	si	si
