	NOM	AKK	DAT	GEN	ABL	LOC
1s	men	mëni	ma'nga	mëning	mendin	mende
2vs	sen	sëni	sa'nga	sëning	sendin	sende
2hs	siz	sizni	sizge	sizning	sizdin	sizde
3s	u	uni	uninggha	uning	uningdin	uningda
1p	biz	bizni	bizge	bizning	bizdin	bizde
2vp	siler	silerni	silerge	silerning	silerdin	silerde
2hp	sizler	sizlerni	sizlerge	sizlerning	sizlerdin	sizlerde
3p	ular	ularni	ulargha	ularning	ulardin	ularda
