	NOM	AKK	DAT	GEN	ABL	LOC
1s	men	meni	menga	mening	mendan	menda
2vs	sen	seni	senga	sening	sendan	senda	
2hs	siz	sizni	sizga	sizning	sizdan	sizda		
3s	u	uni	unga	uning	undan	unda
1p	biz	bizni	bizga	bizning	bizdan	bizda
2vp	sanlar	sanlarni	sanlarga	sanlarning	sanlardan	sanlarda	
2hp	sizlar	sizlarni	sizlarga	sizlarning	sizlardan	sizlarda	
3p	ular	ularni	ularga	ularning	ulardan	ularda	
