	NOM	AKK	DAT	GEN	ABL	LOC
1s	ben	beni	bana	benim	benden	bende
2vs	sen	seni	sana	senin	senden	sende
2hs	siz	sizi	size	sizin	sizden	sizde
3s	o	onu	ona	onun	ondan	onda				
1p	biz	bizi	bize	bizim	bizden	bizde
2vp	siz	sizi	size	sizin	sizden	sizde				
2hp	sizler	sizleri	sizlere	sizlerin	sizlerden	sizlerde
3p	onlar	onları	onlara	onların	onlardan	onlarda
