	NOM	AKK	DAT	GEN	ABL	LOC
1s	min	mine	miñä	mineñ	minän	mindä	
2s	hin	hine	hiñä	hineñ	hinän	hindä	
3s	ul	unı	uğa	unıñ	unan	unda
1p	beđ	beđđe	beđgä	beđđeñ	beđđän	beđđä	
2p	heđ	heđđe	heđgä	heđđeñ	heđđän	heđđä	
3p	ular	ularđı	ularğa	ularđıñ	ularđan	ularđa
