	NOM	AKK	DAT	GEN	ABL	LOC
1s	mən	məni	mənə	mənim	məndən	məndə
2s	sən	səni	sənə	sənin	səndən	səndə
3s	o	onu	ona	onun	ondan	onda				
1p	biz	bizi	bizə	bizim	bizdən	bizdə
2p	siz	sizi	sizə	sizin	sizdən	sizdə				
3p	onlar	onları	onlara	onların	onlardan	onlarda
