	NOM	AKK	DAT	GEN	ABL	LOC
1s	min	mine	miña	minem	minnän	mindä	
2s	sin	sine	siña	sineñ	sinnän	sindä	
3s	ul	anı	aña	anıñ	annan	anda
1p	bez	bezne	bezgä	bezneñ	bezdän	bezdä	
2p	sez	sezen	sezgä	sezneñ	sezdän	sezdä	
3p	alar	alarnı	alarğa	alarnıñ	alardan	alarda
