	NOM	AKK	DAT	GEN	ABL	LOC
1s	men	meni	maña	menim	menden	mende	
2s	sen	seni	saña	seniñ	senden	sende
3s	o	onı	oña	onıñ	ondan	onda
1p	biz	bizni	bizge	bizim	bizden	bizde	
2p	biz	sizni	sizge	siziñ	sizden	sizde	
3p	olar	olarnı	olarğa	olarnıñ	olardan	olarda
