	NOM	AKK	DAT	GEN	ABL	LOC
1s	men	meni	maňa	meniň	menden	mende
2s	sen	seni	saňa	seniň	senden	sende
3s	ol	ony	oňa	onuň	ondan	onda				
1p	biz	bizi	bize	biziň	bizden	bizde
2p	siz	sizi	size	siziň	sizden	sizde				
3p	olar	olary	olara	olaryň	olardan	olarda
