	NOM	INDIR
1s	zə	mā
2s	tə	tā
3es m	day	də
3es f	dā	de
3xs m	hağá	hağә́
3xs f	hağá	hağé
1p	muẓ̌	muẓ̌
2p	tā́so	tā́so
3ep	dui	dui
3xp	hağúi	hağúi
