	NOM	INDIR
1s	man	man râ
2vs	to	to râ
2hs	šomâ	šomâ râ
3es	u	u râ
3xs	ân	ân râ
3ws	vey	vey râ
1p	mâ	mâ râ
2vp	šomâ	šomâ râ
2hp	šomâ	šomâ râ
3ep	ânhâ	ânhâ râ
3xp	ânhâ	ânhâ râ
3wp	išân	išân râ
