	NOM	AKK	DAT	GEN	ABL	LOC	INSTR
1s	men	menı	mağan	menıñ	menen	mende	menımen
2vs	sen	senı	sağan	senıñ	senen	sende	senımen
2hs	sız	sızdı	sızge	sızdıñ	sızden	sızde	sızben
3s	ol	ony	oğan	onyñ	odan	onda	onymen		
1p	bız	bızdı	bızge	bızdıñ	bızden	bızde	bızben
2vp	sender	senderdı	senderge	senderdıñ	senderden	senderde	sendermen			
2hp	sızder	sızderı	sızderge	sızderdıñ	sızderden	sızderde	sızdermen
3p	olar	olardy	olarğa	olardyñ	olardan	olarda	olarmen
