1s	123-difaHn	123-iHn	123-anaH
2s	123-difaHt	123-iHt	123-ataL
3s m	123-difeH	123-iH	123-anaH
3s f	123-difaL	123-iL	123-anaL
1p	123-difeniL	123-niL	123-aniL
2p	123-difetiH	123-tiH	123-atiH
3p	123-difeH	123-seteH	123-soneH
