	NOM	AKK	INSTR	DAT	ABL	GEN	LOC
1s	es	is	inew	inj	ineen	im	is
2s	du	kʿez	kʿew	kʿez	kʿeen	kʿo	kʿez
3s	na	na	novaw	nma	nmanee	nora	nma
1p	mekʿ	mez	mewkʿ	mez	meenǰ	mer	mez
2p	dukʿ	jez	jewkʿ	jez	jeenǰ	jer	jez
3p	nokʿa	nosa	nokʿookʿ	nocʿa	nocʿanee	nocʿa	nosa
