	NOM	AKK	INSTR	DAT	ABL	GEN	LOC
1s	es	inj	injnov	inj	injnicʿ	im	injnum
2s	du	kʿez	kʿeznov	kʿez	kʿeznicʿ	kʿo	kʿeznum
3s	na	nran	nranov	nran	nranicʿ	nra	nranum
1p	menkʿ	mez	meznov	mez	meznicʿ	mer	meznum
2p	dukʿ	jez	jeznov	jez	jeznicʿ	jer	jeznum
3p	nrankʿ	nrancʿ	nrancʿov	nrancʿ	nrancʿicʿ	nrancʿ	nrancʿum
