	NOM	AKK	DAT	DISJ	CON
1s	iu	mi	mi	mia	mia
2s	tu	ti	ti	tia	tia
3s m	iḍḍu	ci	ci	iḍḍu	iḍḍu
3s f	iḍḍa	ci	ci	iḍḍa	iḍḍa
rs	si	si	si	iḍḍu	iḍḍu
1p	nuautri	ni	ni	nui	nui
2p	vuautri	vi	vi	vui	vui
3p	iḍḍi	ci	ci	iḍḍi	iḍḍi
rp	si	si	si	iḍḍi	iḍḍi
