	NOM	AKK	DAT	DISJ	CON
1s	ieu	me	me	ieu	ieu
2s	tu	te	te	tu	tu
3s m	el	lo	li	el	el
3s f	ela	la	li	ela	ela
rs	se	se	se	se	se
1p m	nosautres	nos	nos	nosautres	nosautres
1p f	nosautras	nos	nos	nosautras	nosautras
2p m	vosautres	vos	vos	vosautres	vosautres
2p f	vosautras	vos	vos	vosautras	vosautras
3p m	els	los	lor	els	els
3p f	elas	las	lor	elas	elas
rp	se	se	se	se	se
