	NOM	AKK	DAT	DISJ	CON
1s	je	me	me	moi	moi
2s	tu	te	te	toi	toi
3s m	il	le	lui	lui	lui
3s f	elle	la	lui	elle	elle
rs	se	se	se	soi	soi
1p	nous	nous	nous	nous	nous
2p	vous	vous	vous	vous	vous
3p m	ils	les	leur	eux	eux
3p f	elles	les	leur	elles	elles
rp	se	se	se	soi	soi
