	NOM	AKK	DAT	DISJ	CON
1s	jo	mè	mè	mè	mè
2s	te	tè	tè	tè	tè
3s m	il	lo	lui	lui	lui
3s f	el	la	lyé	lyé	lyé
rs	sè	sè	sè	sè	sè
1p	nos	nos	nos	nos	nos
2p	vos	vos	vos	vos	vos
3p m	ils	los	lor	lor	lor
3p f	els	les	lyés	lyés	lyés
rp	sè	sè	sè	sè	sè
