	NOM	AKK-s	DAT-s	AKK	DAT	PREP
1s	jas	me	mi	mene	mene	mene
2s	ti	te	ti	tebe	tebe	tebe
3s m	toj	go	mu	nego	nemu	nego
3s f	taa	ja	i	nea	nejze	nea
3s n	toa	go	mu	nego	nemu	nego
rs	-	se	si	sebe	sebe	sebe
1p	nie	ne	ni	nas	nam	nas
2p	vie	ve	vi	vas	vas	vas
3p	tie	gi	im	niv	nim	niv
