	NOM	AKK-s	DAT-s	AKK	DAT	PROP
1s	az	me	mi	men	mene	mene
2s	ti	te	ti	teb	tebe	tebe
3s m	toj	go	mu	nego	nemu	nego
3s f	tja	ja	i	neja	nej	neja
3s n	to	go	mu	nego	nemu	nego
rs	-	se	si	sebe	sebe	sebe
1p	nie	ni	ni	nas	nam	nas
2p	vie	vi	vi	vas	vam	vas
3p	te	gi	im	tjah	tjam	tjah
